sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,42,,良好,0.2,0.07,17.4,41.4,10,7,0.9,1.2,0.2,2.4,94,"2024-11-14 21:00",,0.1,12.8,35,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,14,,良好,0,0.06,10.4,15.9,4,0,3.6,4.5,0.9,0.5,266,"2024-11-14 21:00",,0,2.3,13,0,121.82463916,24.85366672,312
新北(樹林),新北市,86,細懸浮微粒,普通,1.1,0.82,3.1,9.8,49,33,35.2,52.7,17.4,0.1,291,"2024-11-14 21:00",,0.5,29.6,48,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,58,細懸浮微粒,普通,0.4,0.2,34.5,48.5,30,13,5.9,6.6,0.6,0.3,99,"2024-11-14 21:00",,0.1,18.5,35,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,67,細懸浮微粒,普通,0.4,0.24,31,39.3,61,31,9.7,10.4,0.7,1.6,2,"2024-11-14 21:00",,0.1,22.1,49,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,67,細懸浮微粒,普通,1.4,0.46,18.5,35.4,55,34,20.1,20.9,0.8,0.3,343,"2024-11-14 21:00",,0.2,22,44,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,113,細懸浮微粒,對敏感族群不健康,2.8,0.52,8.3,34.5,57,29,20,23.2,3.2,0.6,311,"2024-11-14 21:00",,0.5,40,69,1,120.56373,23.96117,201
大城,彰化縣,48,,良好,0.6,0.15,37.2,39.1,26,10,6,6.9,0.8,2.4,26,"2024-11-14 21:00",,0.1,14.9,33,0,120.26964167,23.85493056,85
富貴角,新北市,31,,良好,0.5,0.05,14.8,34.9,21,5,1.3,1.2,0,4.8,75,"2024-11-14 21:00",,0.1,8.9,22,0,121.53656894,25.29681695,84
麥寮,雲林縣,60,細懸浮微粒,普通,1.2,0.18,31.9,39.3,41,20,6.7,7.9,1.2,2.8,358,"2024-11-14 21:00",,0.1,19.3,40,1,120.251825,23.753506,83
關山,臺東縣,23,,良好,1.3,0.13,4.1,5.3,21,6,4,5.5,1.5,0.8,332,"2024-11-14 21:00",,0.1,4.4,23,1,121.161933,23.045083,80
馬公,澎湖縣,42,,良好,1.4,0.18,36.4,45.5,16,6,3.3,3.7,0.4,3.5,33,"2024-11-14 21:00",,0.2,8.8,24,1,119.566158,23.569031,78
金門,金門縣,45,,良好,1.6,0.31,16.2,41.8,31,19,11.9,12.6,0.6,1,129,"2024-11-14 21:00",,0.2,14,28,1,118.312256,24.432133,77
馬祖,連江縣,37,,良好,0.7,0.28,22.5,27.5,21,13,7.3,7.9,0.5,3.5,339,"2024-11-14 21:00",,0.2,11.3,18,0,119.952724,26.153736,75
埔里,南投縣,57,細懸浮微粒,普通,1.4,0.37,2.3,15.8,24,20,14.9,17.3,2.4,0.9,136,"2024-11-14 21:00",,0.3,17.9,26,1,120.967903,23.968842,72
