證券代號,證券名稱,開盤價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,"46,790,503","3,463,425,684",74.95,75.25
0051,元大中型100,"43,172","1,177,199",27.30,27.57
0052,富邦科技,"161,425","9,156,750",57.60,57.60
0053,元大電子,"35,076","1,163,448",33.36,33.61
0054,元大台商50,"27,028","507,569",18.80,19.00
0055,元大MSCI金融,"62,050","940,984",15.35,15.35
0056,元大高股息,"80,530,934","1,897,973,002",23.70,23.82
0057,富邦摩台,"20,011","967,537",48.35,48.35
0061,元大寶滬深,"5,889,414","103,296,868",17.30,18.50
006203,元大MSCI台灣,"7,000","242,470",34.98,34.98
006204,永豐臺灣加權,"7,000","327,600",47.17,47.17
006205,富邦上証,"2,176,076","61,949,579",28.38,28.58
006206,元大上證50,"602,582","17,703,772",29.15,29.60
006207,FH滬深,"241,250","5,335,510",21.95,22.28
006208,富邦台50,"1,366,482","58,018,386",43.80,43.80
00625K,富邦上証+R,"50,000","333,500",6.67,6.67
00631L,元大台灣50正2,"22,770,009","725,909,170",32.86,32.88
00632R,元大台灣50反1,"307,003,192","3,890,066,718",12.54,12.90
00633L,富邦上証正2,"22,471,500","823,578,024",36.40,37.38
00634R,富邦上証反1,"11,553,832","72,528,184",6.32,6.35
00635U,元大S&P黃金,"2,074,480","45,122,284",21.79,21.81
00636,國泰中國A50,"1,812,020","35,264,078",19.39,19.61
00636K,國泰中國A50+U,0,0,0.00,0.00
00637L,元大滬深300正2,"117,360,971","1,650,312,234",14.00,14.32
00638R,元大滬深300反1,"6,524,000","83,028,110",12.70,12.85
00639,富邦深100,"2,842,731","30,718,102",10.65,10.88
00640L,富邦日本正2,"3,151,000","39,372,470",12.34,12.93
00641R,富邦日本反1,"4,330,005","76,639,029",17.88,18.03
00642U,元大S&P石油,"77,488,385","800,805,843",10.22,10.45
00643,群益深証中小,"1,486,000","19,564,510",12.81,13.30
00643K,群益深証中小+R,0,0,0.00,0.00
00645,富邦日本,"143,551","2,438,596",16.73,17.15
00646,元大S&P500,"3,052,106","68,939,394",22.90,22.91
00647L,元大S&P500正2,"4,152,000","94,073,210",22.75,23.40
00648R,元大S&P500反1,"10,595,844","149,013,129",13.90,14.20
00650L,FH香港正2,"314,000","6,348,200",20.11,20.70
00651R,FH香港反1,"1,118,000","10,717,130",9.60,9.68
00652,富邦印度,"144,240","2,472,946",17.61,17.61
00653L,富邦印度正2,"1,661,000","26,245,990",16.42,16.42
00654R,富邦印度反1,"1,077,000","18,607,390",17.00,17.72
00655L,國泰中國A50正2,"9,188,000","243,042,750",26.45,26.98
00656R,國泰中國A50反1,"2,297,000","26,544,820",11.60,11.68
00657,國泰日經225,"101,000","2,134,830",21.14,21.14
00657K,國泰日經225+U,100,700,7.00,7.00
00660,元大歐洲50,"72,000","1,287,470",17.89,18.10
00661,元大日經225,"5,000","108,700",21.83,21.89
00662,富邦NASDAQ,"287,441","8,117,878",28.40,28.66
00663L,國泰臺灣加權正2,"1,078,111","30,450,753",28.60,29.02
00664R,國泰臺灣加權反1,"9,186,005","132,651,621",14.29,14.69
00665L,富邦恒生國企正2,"216,000","4,029,380",18.31,18.96
00666R,富邦恒生國企反1,"96,000","1,454,230",14.91,15.19
00668,國泰美國道瓊,"1,585,100","35,786,960",22.63,22.81
00668K,國泰美國道瓊+U,100,748,7.48,7.48
00669R,國泰美國道瓊反1,"16,859,000","258,411,780",15.29,15.60
00670L,富邦NASDAQ正2,"4,569,000","125,750,710",27.70,28.39
00671R,富邦NASDAQ反1,"10,084,100","127,292,220",12.66,12.89
00672L,元大S&P原油正2,"364,271,500","909,166,432",2.70,2.70
00673R,元大S&P原油反1,"7,133,571","184,148,969",25.70,26.06
00674R,元大S&P黃金反1,"836,000","13,549,280",16.21,16.31
00675L,富邦臺灣加權正2,"2,685,000","33,273,620",12.63,12.77
00676R,富邦臺灣加權反1,"10,766,000","84,213,600",7.70,7.95
00677U,富邦VIX,"869,273,587","9,221,523,951",10.32,11.30
00678,群益NBI生技,"493,200","9,496,299",19.70,19.70
00680L,元大美債20正2,"660,100","19,611,936",29.39,29.86
00681R,元大美債20反1,"426,000","5,796,800",13.58,13.64
00682U,元大美元指數,"38,000","756,880",19.82,19.96
00683L,元大美元指數正2,"62,000","1,259,880",20.38,20.50
00684R,元大美元指數反1,"16,000","287,600",17.88,18.03
00685L,群益臺灣加權正2,"403,000","4,373,240",10.98,11.12
00686R,群益臺灣加權反1,"2,298,000","19,675,030",8.50,8.70
00688L,國泰20年美債正2,"22,000","663,230",30.20,30.44
00689R,國泰20年美債反1,"153,000","2,132,040",13.88,14.03
00690,兆豐藍籌30,"293,150","5,504,916",19.00,19.05
00691R,兆豐藍籌30反1,"66,000","1,108,220",16.79,16.89
00692,富邦公司治理,"9,140,240","173,968,953",19.39,19.39
00693U,街口S&P黃豆,"1,587,470","21,105,512",13.19,13.36
00700,富邦恒生國企,"105,058","1,806,974",17.52,17.52
00701,國泰股利精選30,"4,367,311","78,307,902",18.24,18.24
00702,國泰標普低波高息,"233,000","3,515,650",15.10,15.23
00703,台新MSCI中國,"78,000","1,430,740",18.20,18.44
00706L,元大S&P日圓正2,"11,000","193,660",17.69,17.69
00707R,元大S&P日圓反1,"2,000","39,030",19.56,19.56
00708L,元大S&P黃金正2,"9,998,000","224,045,730",22.46,22.53
00709,富邦歐洲,"163,000","2,349,310",14.24,14.53
00710B,FH彭博高收益債,"401,330","6,944,992",17.50,17.50
00711B,FH彭博新興債,"504,000","9,802,650",19.63,19.63
00712,FH富時不動產,"950,300","11,354,719",12.96,12.96
00713,元大台灣高息低波,"163,000","4,296,660",26.68,26.68
00714,群益道瓊美國地產,"188,000","3,043,240",16.18,16.35
00715L,街口布蘭特油正2,"195,838,000","747,541,030",4.01,4.01
00717,富邦美國特別股,"3,873,491","59,753,095",15.76,15.76
00728,第一金工業30,"1,128,999","18,056,863",16.38,16.44
00730,富邦臺灣優質高息,"1,112,553","16,036,820",14.60,14.60
00731,FH富時高息低波,"108,000","4,219,420",39.70,39.70
00732,國泰RMB短期報酬,"100,000","3,844,000",38.44,38.44
00733,富邦臺灣中小,"226,442","3,598,290",16.07,16.22
00735,國泰臺韓科技,"172,000","2,920,460",17.06,17.09
00736,國泰新興市場,"130,000","1,968,220",15.10,15.15
00737,國泰AI+Robo,"1,087,521","17,830,617",16.80,16.85
00738U,元大道瓊白銀,"2,968,000","42,087,300",14.31,14.31
00739,元大MSCI A股,"763,000","15,265,450",19.75,20.11
00742,新光內需收益,"10,000","179,750",18.09,18.09
00743,國泰中國A150,"35,038","702,259",20.31,20.31
00752,中信中國50,"1,729,253","36,765,874",21.30,21.41
